no,num1,num2,num3,num4,num5,num6,binus,winning_1,winning_2,winning_3,winning_4,winning_5
154,6,19,21,35,40,45,20,"2,836,628,700.00","59,096,432.00","1,590,485.00","62,847.00","5,000.00"
155,16,19,20,32,33,41,4,"1,193,005,734.00","48,365,098.00","1,390,450.00","56,917.00","5,000.00"
156,5,18,28,30,42,45,2,"1,401,099,900.00","62,271,107.00","1,518,808.00","62,789.00","5,000.00"
157,19,26,30,33,35,39,37,"5,484,903,750.00","65,296,474.00","1,582,945.00","59,313.00","5,000.00"
158,4,9,13,18,21,34,7,"1,069,544,340.00","39,612,754.00","1,175,841.00","52,499.00","5,000.00"
159,1,18,30,41,42,43,32,"1,755,407,300.00","73,141,971.00","1,639,036.00","63,911.00","5,000.00"
160,3,7,8,34,39,41,1,"5,490,805,350.00","57,195,890.00","1,696,264.00","62,382.00","5,000.00"
161,22,34,36,40,42,45,44,"1,996,876,272.00","33,275,487.00","1,517,999.00","63,303.00","5,000.00"
162,1,5,21,25,38,41,24,"2,308,265,760.00","58,289,540.00","1,641,259.00","62,857.00","5,000.00"
163,7,11,26,28,29,44,16,"1,629,726,515.00","40,454,205.00","1,367,876.00","57,095.00","5,000.00"
164,6,9,10,11,39,41,27,"4,054,937,900.00","51,986,384.00","1,246,906.00","54,186.00","5,000.00"
165,5,13,18,19,22,42,31,"6,767,426,700.00","56,395,223.00","1,469,583.00","57,240.00","5,000.00"
166,9,12,27,36,39,45,14,"1,111,299,982.00","72,763,690.00","1,351,947.00","57,594.00","5,000.00"
167,24,27,28,30,36,39,4,"2,491,222,920.00","57,667,198.00","1,581,127.00","64,666.00","5,000.00"
168,3,10,31,40,42,43,30,"2,349,946,920.00","36,264,613.00","1,268,322.00","52,569.00","5,000.00"
169,16,27,35,37,43,45,19,"2,482,888,380.00","66,744,312.00","1,766,929.00","65,994.00","5,000.00"
170,2,11,13,15,31,42,10,"1,923,108,250.00","71,226,232.00","1,469,144.00","57,381.00","5,000.00"
171,4,16,25,29,34,35,1,"1,961,339,700.00","103,228,406.00","1,420,232.00","54,893.00","5,000.00"
172,4,19,21,24,26,41,35,"1,081,154,073.00","104,321,885.00","1,553,383.00","60,564.00","5,000.00"
173,3,9,24,30,33,34,18,"1,487,736,788.00","31,486,493.00","1,369,924.00","50,637.00","5,000.00"
174,13,14,18,22,35,39,16,"1,771,103,058.00","79,472,574.00","1,559,462.00","63,580.00","5,000.00"
175,19,26,28,31,33,36,17,"2,371,132,620.00","41,165,497.00","1,466,922.00","58,473.00","5,000.00"
176,4,17,30,32,33,34,15,"2,314,663,080.00","48,222,148.00","1,256,604.00","50,305.00","5,000.00"
